Utility_Code,Utility,DUNS,AcctLength,InputMask,my_fixes,InputMaskResponse,Bill_Method,PricingMethod,UtilityAbbrev,UtilityID,State,CommodityID,Commodity,Unit,UnitAbbrev,EDI_Unit,RateType,DefaultSPL,Sender Name,Rules,DistributorName,Sister_Utility_Code,AllowBackDatedPricing,TaxRate,TaxInfo,DualBilling,BudgetBilling,TaxBackout,ManualEnrollments,InvCancelRefsUsage,PricingUnit,PricingUnitAbbrev,UsageHistoryUnit,UsageHistoryUnitAbbrev,InvoicingUnit,InvoicingUnitAbbrev,AcceptingEnrolments,VendorID,UtilitySlug
29,Public Service Electric and Gas - Electric,6973812,20,PE000000000000000000,,,2,Unique,PSEG,29,NJ,1,Electric,Kilowatt Hour,kWh,KH,,1,,"Must begin with PE, then all numbers (POD ID)",Public Service Electric and Gas - Electric,48,1,0.07,1,1,1,0,0,1,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,pseg
48,Public Service Electric and Gas - GAS,006973812GASP,20,PG000000000000000000,,,2,Unique,PSEG Gas,48,NJ,2,Gas,Therm,thm,TD,,PSG,,,Public Service Electric and Gas - GAS,29,1,0.07,1,1,1,0,0,1,Therm,thm,Therm,thm,Therm,thm,1,1,pseg_gas
5,Rochester Gas and Electric - Electric,160612110,15,"""R01""000000000000",,,2,Inherit,RGE,5,NY,1,Electric,Kilowatt Hour,kWh,KH,,,,Must begin with R0 (POD ID),Rochester Gas and Electric,54,1,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,rge
54,Rochester Gas and Electric - Gas,160612110,15,R02000000000000,,,2,Unique,RGE-GAS,54,NY,2,Gas,Therm,thm,TD,,RGE,,,Rochester Gas and Electric,5,1,,0,0,0,0,0,0,Therm,thm,Therm,thm,Therm,thm,0,1,rge_gas
30,Rockland Electric,617976758,10,0,,,1,Unique,RECO,30,NJ,1,Electric,Kilowatt Hour,kWh,KH,,P,,All Numbers,Rockland Electric,,1,0.07,0,0,0,1,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,reco
13,Sharyland,105262336,13,,,,4,Unique,SHL,13,TX,1,Electric,Kilowatt Hour,kWh,KH,,SHARYLND,,,Sharyland,,0,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,2,shl
34,SMECO,6950976,,,,,,Unique,SMECO,34,MD,1,Electric,Kilowatt Hour,kWh,KH,,,,,SMECO,,1,,0,0,1,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,0,1,smeco
80,South Jersey Gas,51409605,10,0,,,1,Unique,SJersey,80,NJ,2,Gas,Therm,thm,TD,,SJERSEY,,,South Jersey Gas,,0,,0,0,0,1,0,0,Therm,thm,Therm,thm,Therm,thm,0,1,sjersey
12,Texas New Mexico Power,7929441,17,,,,4,Unique,TNM,12,TX,1,Electric,Kilowatt Hour,kWh,KH,,,,,Texas New Mexico Power,,0,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,2,tnm
72,The Illuminating Company,7900293,20,0,,,2,Unique,CEI,72,OH,1,Electric,Kilowatt Hour,kWh,KH,,FE OHIO,,,Cleveland Electric Illuminating Company,,1,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,0,1,cei
74,Toledo Edison,7904626,20,0,,,2,Unique,TE,74,OH,1,Electric,Kilowatt Hour,kWh,KH,,FE OHIO,,,Toledo Edison,,1,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,0,1,te
66,UGI Central Penn Gas,54964445,,0,,,1,Unique,UGICPG,66,PA,2,Gas,Hundred Cubic Feet,ccf,HH,,UGICPG,,,UGI Utilities,,0,,0,0,0,0,0,0,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,0,,ugicpg
68,UGI Gas Service,799376595,,0,,,1,Unique,UGIG,68,PA,2,Gas,Hundred Cubic Feet,ccf,HH,,UGIG,,,UGI Utilities,,0,,0,0,0,0,0,0,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,0,,ugig
67,UGI Penn Natural Gas,79167763,,0,,,1,Unique,UGIPNG,67,PA,2,Gas,Hundred Cubic Feet,ccf,HH,,UGIPNG,,,UGI Utilities,,0,,0,0,0,0,0,0,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,0,,ugipng
24,"UGI Utilities, Inc. - Electric Division",99427866,,,,,2,Unique,UGIUtili,24,PA,1,Electric,Kilowatt Hour,kWh,KH,,,,,,,1,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,0,1,ugiutili
8,United Illuminating,6917967,13,,,,1,Unique,UI,8,CT,1,Electric,Kilowatt Hour,kWh,KH,,CT,,,United Illuminating,,0,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,ui
57,Washington Gas Light,926944695,12,0,,,1,Unique,WGL,57,MD,2,Gas,Therm,thm,TD,,,,,Washington Gas Light Company,,1,,0,0,0,0,0,0,Therm,thm,Therm,thm,Therm,thm,1,1,wgl
25,Wellsboro Electric,8939852,,,,,2,Unique,Wellsbor,25,PA,1,Electric,Kilowatt Hour,kWh,KH,,,,,,,1,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,0,1,wellsbor
19,West Penn Power,007911050EDC,,,,,2,Unique,WPP,19,PA,1,Electric,Kilowatt Hour,kWh,KH,,WP01,,,Allegheny Power,,1,,0,0,0,0,0,1,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,wpp
26,West Penn Power (old),,,,,,2,Unique,WestPenn,26,PA,1,Electric,Kilowatt Hour,kWh,KH,,,,,,,1,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,0,1,westpenn
47,Western Mass Electric Company,6956551,9,0,,,1,Unique,WMECO,47,MA,1,Electric,Kilowatt Hour,kWh,KH,,WCMASS,,,Western Mass Electric Company,,0,,0,0,0,0,0,1,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,wmeco
